pan,tilt,distance,temperature,valid
32,85,84,48,1
34,85,84,48,1
36,85,85,48,1
38,85,87,48,1
40,85,89,48,1
42,85,90,48,1
44,85,91,48,1
46,85,90,48,1
48,85,80,48,1
50,85,83,48,1
52,85,99,48,1
54,85,95,48,1
56,85,114,48,1
58,85,171,48,1
60,85,200,48,1
62,85,121,48,1
64,85,119,48,1
66,85,103,48,1
68,85,101,48,1
70,85,105,48,1
72,85,104,48,1
74,85,106,48,1
76,85,112,48,1
78,85,111,48,1
80,85,114,48,1
82,85,117,48,1
84,85,118,48,1
86,85,126,48,1
88,85,0,48,0
90,85,0,48,0
92,85,0,48,0
94,85,0,48,0
96,85,391,48,1
98,85,390,48,1
100,85,385,48,1
102,85,385,48,1
104,85,381,48,1
106,85,382,48,1
108,85,382,48,1
110,85,381,48,1
112,85,382,48,1
114,85,383,48,1
116,85,348,48,1
118,85,348,48,1
120,85,355,48,1
122,85,359,48,1
124,85,367,48,1
126,85,363,48,1
128,85,362,48,1
130,85,364,48,1
132,85,369,48,1
134,85,375,48,1
136,85,388,48,1
138,85,393,48,1
140,85,401,48,1
142,85,412,48,1
144,85,417,48,1
146,85,396,48,1
148,85,375,48,1
150,85,365,48,1
152,85,352,48,1
154,85,333,48,1
156,85,316,48,1
158,85,308,48,1
160,85,300,48,1
162,85,291,48,1
164,85,281,48,1
166,85,273,48,1
168,85,267,48,1
170,85,261,48,1
172,85,254,48,1
174,85,249,48,1
176,85,245,48,1
178,85,241,48,1
180,82,239,48,1
178,82,239,48,1
176,82,242,48,1
174,82,245,48,1
172,82,249,48,1
170,82,253,48,1
168,82,260,48,1
166,82,265,48,1
164,82,272,48,1
162,82,281,48,1
160,82,288,48,1
158,82,295,48,1
156,82,305,48,1
154,82,314,48,1
152,82,328,48,1
150,82,340,48,1
148,82,357,48,1
146,82,368,48,1
144,82,383,48,1
142,82,390,48,1
140,82,393,48,1
138,82,394,48,1
136,82,391,48,1
134,82,392,48,1
132,82,389,48,1
130,82,388,48,1
128,82,378,48,1
126,82,373,48,1
124,82,375,48,1
122,82,387,48,1
120,82,387,48,1
118,82,387,48,1
116,82,384,48,1
114,82,357,48,1
112,82,378,48,1
110,82,382,48,1
108,82,380,48,1
106,82,382,48,1
104,82,379,48,1
102,82,380,48,1
100,82,377,48,1
98,82,377,48,1
96,82,377,48,1
94,82,378,48,1
92,82,364,48,1
90,82,0,48,0
88,82,0,48,0
86,82,0,48,0
84,82,0,48,0
82,82,0,48,0
80,82,123,48,1
78,82,117,48,1
76,82,117,48,1
74,82,115,48,1
72,82,104,48,1
70,82,107,48,1
68,82,106,48,1
66,82,104,48,1
64,82,102,48,1
62,82,121,48,1
60,82,120,48,1
58,82,131,48,1
56,82,0,48,0
54,82,239,48,1
52,82,223,48,1
50,82,196,48,1
48,82,152,48,1
46,82,101,48,1
44,82,76,48,1
