2,111,265,54,1
0,111,263,54,1
2,111,260,54,1
4,111,265,54,1
6,111,265,54,1
8,111,258,54,1
10,111,262,54,1
12,111,268,54,1
14,111,245,54,1
16,111,239,54,1
18,111,247,54,1
20,111,244,54,1
22,111,246,54,1
24,111,251,54,1
26,111,254,54,1
28,111,259,54,1
30,111,263,54,1
32,111,269,54,1
34,111,278,54,1
36,111,294,54,1
38,111,325,54,1
40,111,345,54,1
42,111,345,54,1
44,111,346,54,1
46,111,338,54,1
48,111,324,54,1
50,111,316,54,1
52,111,305,54,1
54,111,297,54,1
56,111,289,54,1
58,111,286,54,1
60,111,278,54,1
62,111,273,54,1
64,111,265,54,1
66,111,259,54,1
68,111,252,54,1
70,111,248,54,1
72,111,244,54,1
74,111,241,54,1
76,111,236,54,1
78,111,232,54,1
80,111,234,54,1
82,111,237,54,1
84,111,234,54,1
86,111,233,54,1
88,111,232,54,1
90,111,133,54,1
92,111,122,54,1
94,111,120,54,1
96,111,118,54,1
98,111,117,54,1
100,111,117,54,1
102,111,118,54,1
104,111,119,54,1
106,111,120,54,1
108,111,121,54,1
110,111,123,54,1
112,111,224,54,1
114,111,240,54,1
116,111,244,54,1
118,111,248,54,1
120,111,251,54,1
122,111,211,54,1
124,111,185,54,1
126,111,194,54,1
128,111,220,54,1
130,111,209,54,1
132,111,198,54,1
134,111,204,54,1
136,111,231,54,1
138,111,240,54,1
140,111,252,54,1
142,111,270,54,1
144,111,329,54,1
146,111,356,54,1
148,111,177,54,1
150,111,140,54,1
152,111,136,54,1
154,111,133,54,1
156,111,129,54,1
158,111,126,54,1
160,111,125,54,1
162,111,103,54,1
164,111,120,54,1
166,111,119,54,1
164,111,119,54,1
162,111,119,54,1
160,111,120,54,1
158,111,118,54,1
156,111,125,54,1
154,111,127,54,1
152,111,130,54,1
150,111,134,54,1
148,111,138,54,1
146,111,140,54,1
144,111,345,54,1
142,111,345,54,1
140,111,280,54,1
138,111,255,54,1
136,111,243,54,1
134,111,236,54,1
132,111,215,54,1
130,111,199,54,1
128,111,205,54,1
126,111,214,54,1
124,111,204,54,1
122,111,185,54,1
120,111,191,54,1
118,111,237,54,1
116,111,250,54,1
114,111,246,54,1
112,111,243,54,1
110,111,239,54,1
108,111,123,54,1
106,111,122,54,1
104,111,121,54,1
102,111,119,54,1
100,111,118,54,1
98,111,117,54,1
96,111,117,54,1
94,111,118,54,1
92,111,119,54,1
90,111,122,54,1
88,111,139,54,1
86,111,221,54,1
84,111,232,54,1
82,111,234,54,1
80,111,236,54,1
78,111,238,54,1
76,111,227,54,1
74,111,231,54,1
72,111,236,54,1
70,111,238,54,1
68,111,244,54,1
66,111,247,54,1
64,111,254,54,1
62,111,263,54,1
60,111,272,54,1
58,111,275,54,1
56,111,284,54,1
54,111,290,54,1
52,111,296,54,1
50,111,301,54,1
48,111,311,54,1
46,111,320,54,1
44,111,333,54,1
42,111,343,54,1
40,111,355,54,1
38,111,354,54,1
36,111,334,54,1
34,111,298,54,1
32,111,278,54,1
30,111,272,54,1
28,111,266,54,1
26,111,260,54,1
24,111,255,54,1
22,111,251,54,1
20,111,247,54,1
18,111,246,54,1
16,111,243,54,1
14,111,259,54,1
12,111,233,54,1
10,111,252,54,1
8,111,266,54,1
6,111,258,54,1
4,111,263,54,1
2,111,263,54,1
0,111,261,54,1
2,111,258,54,1
4,111,263,54,1
6,111,264,54,1
8,111,259,54,1
10,111,263,54,1
12,111,267,54,1
14,111,237,54,1
16,111,238,54,1
18,111,249,54,1
20,111,243,54,1
22,111,246,54,1
24,111,250,54,1
26,111,254,54,1
28,111,259,54,1
30,111,262,54,1
32,111,270,54,1
34,111,277,54,1
36,111,294,54,1
38,111,328,54,1
40,111,346,54,1
42,111,346,54,1
44,111,345,54,1
46,111,335,54,1
48,111,321,54,1
50,111,315,54,1
52,111,304,54,1
54,111,297,54,1
56,111,289,54,1
58,111,284,54,1
60,111,277,54,1
62,111,272,54,1
64,111,265,54,1
66,111,259,54,1
68,111,252,54,1
70,111,249,54,1
72,111,245,54,1
74,111,241,54,1
76,111,235,54,1
78,111,232,54,1
80,111,235,54,1
82,111,237,54,1
84,111,234,54,1
86,111,233,54,1
88,111,232,54,1
90,111,144,54,1
92,111,122,54,1
94,111,121,54,1
96,111,119,54,1
98,111,117,54,1
100,111,117,54,1
102,111,119,54,1
104,111,120,54,1
106,111,120,54,1
108,111,122,54,1
110,111,123,54,1
112,111,235,54,1
114,111,241,54,1
116,111,244,54,1
118,111,247,54,1
120,111,252,54,1
122,111,205,54,1
124,111,184,54,1
126,111,195,54,1
128,111,220,54,1
130,111,209,54,1
132,111,198,54,1
134,111,203,54,1
136,111,232,54,1
138,111,240,54,1
140,111,251,54,1
142,111,261,54,1
144,111,331,54,1
146,111,354,54,1
148,111,151,54,1
150,111,140,54,1
152,111,136,54,1
154,111,133,54,1
156,111,130,54,1
158,111,126,54,1
160,111,124,54,1
162,111,100,54,1
